,series_id,area_name,category,date,period,value,inflation_yoy
182,CUSR0000SA0,U.S. city average,All items,2012-03-01,M03,228.807,2.5828752813320977
183,CUSR0000SA0,U.S. city average,All items,2012-04-01,M04,229.187,2.2731633741348567
184,CUSR0000SA0,U.S. city average,All items,2012-05-01,M05,228.713,1.7379429374660749
185,CUSR0000SA0,U.S. city average,All items,2012-06-01,M06,228.524,1.653870448297634
186,CUSR0000SA0,U.S. city average,All items,2012-07-01,M07,228.59,1.4175114798464783
187,CUSR0000SA0,U.S. city average,All items,2012-08-01,M08,229.918,1.6859349154821235
188,CUSR0000SA0,U.S. city average,All items,2012-09-01,M09,231.015,1.9497168982819613
189,CUSR0000SA0,U.S. city average,All items,2012-10-01,M10,231.638,2.1556780595369363
190,CUSR0000SA0,U.S. city average,All items,2012-11-01,M11,231.249,1.7960197033926262
191,CUSR0000SA0,U.S. city average,All items,2012-12-01,M12,231.221,1.7595049796895523
192,CUSR0000SA0,U.S. city average,All items,2013-01-01,M01,231.679,1.684061762098299
193,CUSR0000SA0,U.S. city average,All items,2013-02-01,M02,232.937,2.0181404902574807
194,CUSR0000SA0,U.S. city average,All items,2013-03-01,M03,232.282,1.5187472411246183
195,CUSR0000SA0,U.S. city average,All items,2013-04-01,M04,231.797,1.138808047576867
196,CUSR0000SA0,U.S. city average,All items,2013-05-01,M05,231.893,1.3903888279197085
197,CUSR0000SA0,U.S. city average,All items,2013-06-01,M06,232.445,1.7157935271568725
198,CUSR0000SA0,U.S. city average,All items,2013-07-01,M07,232.9,1.885471805415806
199,CUSR0000SA0,U.S. city average,All items,2013-08-01,M08,233.456,1.538809488600279
200,CUSR0000SA0,U.S. city average,All items,2013-09-01,M09,233.544,1.0947341081747997
201,CUSR0000SA0,U.S. city average,All items,2013-10-01,M10,233.669,0.8767991434911471
202,CUSR0000SA0,U.S. city average,All items,2013-11-01,M11,234.1,1.2328701961954458
203,CUSR0000SA0,U.S. city average,All items,2013-12-01,M12,234.719,1.5128383667573297
204,CUSR0000SA0,U.S. city average,All items,2014-01-01,M01,235.288,1.557758795574915
205,CUSR0000SA0,U.S. city average,All items,2014-02-01,M02,235.547,1.1204746347724948
206,CUSR0000SA0,U.S. city average,All items,2014-03-01,M03,236.028,1.6126949139408042
207,CUSR0000SA0,U.S. city average,All items,2014-04-01,M04,236.468,2.015125303606169
208,CUSR0000SA0,U.S. city average,All items,2014-05-01,M05,236.918,2.166947687079812
209,CUSR0000SA0,U.S. city average,All items,2014-06-01,M06,237.231,2.0589816945944195
210,CUSR0000SA0,U.S. city average,All items,2014-07-01,M07,237.498,1.9742378703305974
211,CUSR0000SA0,U.S. city average,All items,2014-08-01,M08,237.46,1.7150983482969062
212,CUSR0000SA0,U.S. city average,All items,2014-09-01,M09,237.477,1.6840509711232077
213,CUSR0000SA0,U.S. city average,All items,2014-10-01,M10,237.43,1.6095417021513292
214,CUSR0000SA0,U.S. city average,All items,2014-11-01,M11,236.983,1.231524989320798
215,CUSR0000SA0,U.S. city average,All items,2014-12-01,M12,236.252,0.6531213919623191
216,CUSR0000SA0,U.S. city average,All items,2015-01-01,M01,234.747,-0.22993097820542818
217,CUSR0000SA0,U.S. city average,All items,2015-02-01,M02,235.342,-0.08703146293520536
218,CUSR0000SA0,U.S. city average,All items,2015-03-01,M03,235.976,-0.022031284423873476
219,CUSR0000SA0,U.S. city average,All items,2015-04-01,M04,236.222,-0.10403098939391064
220,CUSR0000SA0,U.S. city average,All items,2015-05-01,M05,237.001,0.03503321824429584
221,CUSR0000SA0,U.S. city average,All items,2015-06-01,M06,237.657,0.1795718097550525
222,CUSR0000SA0,U.S. city average,All items,2015-07-01,M07,238.034,0.22568611104094582
223,CUSR0000SA0,U.S. city average,All items,2015-08-01,M08,238.033,0.2413037985344868
224,CUSR0000SA0,U.S. city average,All items,2015-09-01,M09,237.498,0.008842961634170088
225,CUSR0000SA0,U.S. city average,All items,2015-10-01,M10,237.733,0.12761656067050708
226,CUSR0000SA0,U.S. city average,All items,2015-11-01,M11,238.017,0.4363182169185187
227,CUSR0000SA0,U.S. city average,All items,2015-12-01,M12,237.761,0.6387247515364791
228,CUSR0000SA0,U.S. city average,All items,2016-01-01,M01,237.652,1.2375025026943876
229,CUSR0000SA0,U.S. city average,All items,2016-02-01,M02,237.336,0.8472775790126619
230,CUSR0000SA0,U.S. city average,All items,2016-03-01,M03,238.08,0.8916160965521946
231,CUSR0000SA0,U.S. city average,All items,2016-04-01,M04,238.992,1.1726257503534843
232,CUSR0000SA0,U.S. city average,All items,2016-05-01,M05,239.557,1.0784764621246223
233,CUSR0000SA0,U.S. city average,All items,2016-06-01,M06,240.222,1.0792865347959424
234,CUSR0000SA0,U.S. city average,All items,2016-07-01,M07,240.101,0.8683633430518256
235,CUSR0000SA0,U.S. city average,All items,2016-08-01,M08,240.545,1.0553158595656864
236,CUSR0000SA0,U.S. city average,All items,2016-09-01,M09,241.176,1.5486446201652182
237,CUSR0000SA0,U.S. city average,All items,2016-10-01,M10,241.741,1.685924966243646
238,CUSR0000SA0,U.S. city average,All items,2016-11-01,M11,242.026,1.6843334719788938
239,CUSR0000SA0,U.S. city average,All items,2016-12-01,M12,242.637,2.0507989115119862
240,CUSR0000SA0,U.S. city average,All items,2017-01-01,M01,243.62,2.511234914917626
241,CUSR0000SA0,U.S. city average,All items,2017-02-01,M02,243.872,2.753901641554579
242,CUSR0000SA0,U.S. city average,All items,2017-03-01,M03,243.766,2.3882728494623473
